method,function,seed,best_value,simple_regret,n_evaluations,final_domain_size,total_time
REDS,branin,0,0.4069069620446708,0.009019962044670815,630,2500,9.68269658088684
REDS,branin,1,0.5012845204240453,0.10339752042404526,630,2500,10.822872161865234
REDS,branin,2,0.5433562827993885,0.14546928279938853,630,2500,9.722702503204346
REDS,branin,3,0.5579429232407556,0.16005592324075557,630,2500,10.494139432907104
REDS,branin,4,0.4069069620446708,0.009019962044670815,630,2500,9.916490316390991
REDS,branin,5,0.4069069620446708,0.009019962044670815,630,2500,10.613282680511475
REDS,branin,6,0.47269080217855297,0.07480380217855298,630,2500,10.22163987159729
REDS,branin,7,0.47269080217855297,0.07480380217855298,630,2500,9.89780330657959
REDS,branin,8,0.7453755137832534,0.3474885137832534,630,2500,11.00366997718811
REDS,branin,9,0.47269080217855297,0.07480380217855298,630,2500,10.792958736419678
REDS,branin,10,0.404492697787159,0.006605697787159026,630,2500,10.569492101669312
REDS,branin,11,0.6348612815964643,0.23697428159646428,630,2500,9.744527339935303
REDS,branin,12,0.6684464724235717,0.2705594724235717,630,2500,11.292366027832031
REDS,branin,13,0.47269080217855297,0.07480380217855298,630,2500,10.284465789794922
REDS,branin,14,0.4069069620446708,0.009019962044670815,630,2500,9.543132781982422
BPG-DS-v2,branin,0,0.45026242787601944,0.052375427876019454,630,2500,10.414016723632812
BPG-DS-v2,branin,1,0.4951227826887994,0.0972357826887994,630,34,10.697863340377808
BPG-DS-v2,branin,2,0.4069069620446708,0.009019962044670815,630,2500,10.291874647140503
BPG-DS-v2,branin,3,0.47269080217855297,0.07480380217855298,630,2500,12.285313606262207
BPG-DS-v2,branin,4,0.4951227826887994,0.0972357826887994,630,35,11.20041275024414
BPG-DS-v2,branin,5,0.6348612815964643,0.23697428159646428,630,27,11.212521076202393
BPG-DS-v2,branin,6,0.4069069620446708,0.009019962044670815,630,35,10.57820177078247
BPG-DS-v2,branin,7,0.4951227826887994,0.0972357826887994,630,2500,10.519674062728882
BPG-DS-v2,branin,8,0.7453755137832534,0.3474885137832534,630,31,11.272411584854126
BPG-DS-v2,branin,9,1.0633985547894813,0.6655115547894813,630,30,9.700797080993652
BPG-DS-v2,branin,10,0.7846854555530669,0.3867984555530669,630,2500,11.209121704101562
BPG-DS-v2,branin,11,0.5579429232407556,0.16005592324075557,630,28,11.400954484939575
BPG-DS-v2,branin,12,0.6684464724235717,0.2705594724235717,630,2500,11.02306056022644
BPG-DS-v2,branin,13,0.5012845204240453,0.10339752042404526,630,28,10.332298040390015
BPG-DS-v2,branin,14,0.4069069620446708,0.009019962044670815,630,28,10.759860754013062
REDS,hartmann3d,0,-3.815627395554648,0.047152604445352075,630,7884,11.331124782562256
REDS,hartmann3d,1,-3.7041101564067276,0.1586698435932723,630,7697,9.446677684783936
REDS,hartmann3d,2,-3.6544371647352314,0.2083428352647685,630,7994,10.338841915130615
REDS,hartmann3d,3,-3.6681829778489505,0.19459702215104935,630,7883,10.391221046447754
REDS,hartmann3d,4,-3.812836560312453,0.049943439687546665,630,7973,10.424858331680298
REDS,hartmann3d,5,-3.815627395554648,0.047152604445352075,630,7986,10.59831166267395
REDS,hartmann3d,6,-3.802714210741323,0.060065789258676894,630,7877,9.837391376495361
REDS,hartmann3d,7,-3.5125060333718667,0.35027396662813315,630,7822,10.749678611755371
REDS,hartmann3d,8,-3.8312461016836066,0.031533898316393305,630,7968,9.872692346572876
REDS,hartmann3d,9,-3.824362379680076,0.038417620319923795,630,7912,10.998741388320923
REDS,hartmann3d,10,-3.824362379680076,0.038417620319923795,630,7967,9.071229457855225
REDS,hartmann3d,11,-3.6179403844646023,0.24483961553539757,630,7949,9.362731695175171
REDS,hartmann3d,12,-3.824362379680076,0.038417620319923795,630,7893,9.72113299369812
REDS,hartmann3d,13,-3.8234477866111902,0.039332213388809656,630,7967,9.451103925704956
REDS,hartmann3d,14,-3.8312461016836066,0.031533898316393305,630,7939,10.546494007110596
BPG-DS-v2,hartmann3d,0,-3.6544371647352314,0.2083428352647685,630,8000,8.874267339706421
BPG-DS-v2,hartmann3d,1,-3.6561809209549385,0.20659907904506136,630,8000,9.790478706359863
BPG-DS-v2,hartmann3d,2,-3.7904386506376415,0.07234134936235836,630,8000,10.531788110733032
BPG-DS-v2,hartmann3d,3,-3.7904386506376415,0.07234134936235836,630,8000,8.436010837554932
BPG-DS-v2,hartmann3d,4,-3.5800285923723716,0.2827514076276283,630,8000,8.850988626480103
BPG-DS-v2,hartmann3d,5,-3.7741052137126236,0.08867478628737624,630,8000,8.930428504943848
BPG-DS-v2,hartmann3d,6,-3.8216325739362054,0.04114742606379451,630,8000,8.55076551437378
BPG-DS-v2,hartmann3d,7,-3.802714210741323,0.060065789258676894,630,8000,10.21014952659607
BPG-DS-v2,hartmann3d,8,-3.815627395554648,0.047152604445352075,630,520,10.271668434143066
BPG-DS-v2,hartmann3d,9,-3.805654515662115,0.057125484337885,630,500,9.010722875595093
BPG-DS-v2,hartmann3d,10,-2.735319251496187,1.1274607485038128,630,6,7.977810382843018
BPG-DS-v2,hartmann3d,11,-3.829817352063974,0.0329626479360261,630,8000,8.620060682296753
BPG-DS-v2,hartmann3d,12,-2.9088435310740133,0.9539364689259866,630,5,8.068490266799927
BPG-DS-v2,hartmann3d,13,-3.5493974084392943,0.3133825915607056,630,8000,9.789875745773315
BPG-DS-v2,hartmann3d,14,-3.7137584193264574,0.14902158067354243,630,8000,8.38086986541748
REDS,ackley2d,0,6.4202660643693825,6.4202660643693825,630,545,10.250051021575928
REDS,ackley2d,1,6.426837685241541,6.426837685241541,630,503,9.840173721313477
REDS,ackley2d,2,2.755731254526563,2.755731254526563,630,619,9.80719542503357
REDS,ackley2d,3,7.25662045303967,7.25662045303967,630,461,10.181487798690796
REDS,ackley2d,4,8.131094883366025,8.131094883366025,630,505,11.805219650268555
REDS,ackley2d,5,10.136097670091406,10.136097670091406,630,585,10.455063819885254
REDS,ackley2d,6,9.239822845438185,9.239822845438185,630,527,10.848204851150513
REDS,ackley2d,7,10.910127198511884,10.910127198511884,630,383,10.852351665496826
REDS,ackley2d,8,7.346324479504707,7.346324479504707,630,483,10.854793787002563
REDS,ackley2d,9,6.228533628072459,6.228533628072459,630,456,10.604246377944946
REDS,ackley2d,10,4.976226258077933,4.976226258077933,630,526,11.238736152648926
REDS,ackley2d,11,1.3864825706899642,1.3864825706899642,630,796,9.675139904022217
REDS,ackley2d,12,8.162519699719308,8.162519699719308,630,429,10.764478921890259
REDS,ackley2d,13,3.5571541137049967,3.5571541137049967,630,668,10.027686834335327
REDS,ackley2d,14,4.047021505530498,4.047021505530498,630,660,10.4948251247406
BPG-DS-v2,ackley2d,0,3.1647766675894684,3.1647766675894684,630,267,9.467422485351562
BPG-DS-v2,ackley2d,1,2.762250224742701,2.762250224742701,630,2500,10.377535104751587
BPG-DS-v2,ackley2d,2,2.8602761817469475,2.8602761817469475,630,2500,10.21199083328247
BPG-DS-v2,ackley2d,3,3.7090751210667716,3.7090751210667716,630,2500,9.920071601867676
BPG-DS-v2,ackley2d,4,3.1094973025155785,3.1094973025155785,630,2500,10.46358609199524
BPG-DS-v2,ackley2d,5,4.893697727420008,4.893697727420008,630,2500,9.780884027481079
BPG-DS-v2,ackley2d,6,2.698705196570334,2.698705196570334,630,2500,10.852863311767578
BPG-DS-v2,ackley2d,7,2.755731254526563,2.755731254526563,630,2500,9.500388622283936
BPG-DS-v2,ackley2d,8,4.540902422752168,4.540902422752168,630,2500,10.333857774734497
BPG-DS-v2,ackley2d,9,2.8602761817469475,2.8602761817469475,630,2500,9.891383409500122
BPG-DS-v2,ackley2d,10,4.540902422752168,4.540902422752168,630,135,11.42518925666809
BPG-DS-v2,ackley2d,11,1.3864825706899642,1.3864825706899642,630,185,10.296618461608887
BPG-DS-v2,ackley2d,12,3.427434022178702,3.427434022178702,630,303,10.171560049057007
BPG-DS-v2,ackley2d,13,0.5434821566346213,0.5434821566346213,630,206,9.650434494018555
BPG-DS-v2,ackley2d,14,0.5434821566346213,0.5434821566346213,630,195,9.732908487319946
REDS,rosenbrock2d,0,0.14032331731833408,0.14032331731833408,630,2500,2.8026340007781982
REDS,rosenbrock2d,1,0.44979453757380006,0.44979453757380006,630,2500,2.64353609085083
REDS,rosenbrock2d,2,0.8069525730376466,0.8069525730376466,630,2500,2.780310869216919
REDS,rosenbrock2d,3,0.3268943715489924,0.3268943715489924,630,2500,3.411105155944824
REDS,rosenbrock2d,4,1.225335618696985,1.225335618696985,630,2500,3.4152612686157227
REDS,rosenbrock2d,5,1.225335618696985,1.225335618696985,630,2500,2.7763710021972656
REDS,rosenbrock2d,6,0.14032331731833408,0.14032331731833408,630,2500,2.7255091667175293
REDS,rosenbrock2d,7,0.14032331731833408,0.14032331731833408,630,2500,3.2599077224731445
REDS,rosenbrock2d,8,0.14032331731833408,0.14032331731833408,630,2500,2.8466837406158447
REDS,rosenbrock2d,9,0.8108165398944429,0.8108165398944429,630,2500,2.5920374393463135
REDS,rosenbrock2d,10,0.44979453757380006,0.44979453757380006,630,2500,2.807180404663086
REDS,rosenbrock2d,11,0.8069525730376466,0.8069525730376466,630,2500,2.630359172821045
REDS,rosenbrock2d,12,0.14032331731833408,0.14032331731833408,630,2500,2.690117597579956
REDS,rosenbrock2d,13,1.8146777312868216,1.8146777312868216,630,2500,3.263826370239258
REDS,rosenbrock2d,14,0.8069525730376466,0.8069525730376466,630,2500,2.814115285873413
BPG-DS-v2,rosenbrock2d,0,0.3268943715489924,0.3268943715489924,630,2500,2.664623498916626
BPG-DS-v2,rosenbrock2d,1,0.14032331731833408,0.14032331731833408,630,2500,2.883608341217041
BPG-DS-v2,rosenbrock2d,2,0.3268943715489924,0.3268943715489924,630,2500,2.909207344055176
BPG-DS-v2,rosenbrock2d,3,0.3268943715489924,0.3268943715489924,630,2500,2.749333620071411
BPG-DS-v2,rosenbrock2d,4,0.3268943715489924,0.3268943715489924,630,2500,2.8825790882110596
BPG-DS-v2,rosenbrock2d,5,0.3268943715489924,0.3268943715489924,630,2500,2.803788423538208
BPG-DS-v2,rosenbrock2d,6,4.758388190676474,4.758388190676474,630,2500,3.2666704654693604
BPG-DS-v2,rosenbrock2d,7,0.14032331731833408,0.14032331731833408,630,2500,2.825761318206787
BPG-DS-v2,rosenbrock2d,8,1.2249062890462106,1.2249062890462106,630,2500,2.633258581161499
BPG-DS-v2,rosenbrock2d,9,5.591641584852614,5.591641584852614,630,2500,2.9943718910217285
BPG-DS-v2,rosenbrock2d,10,0.14032331731833408,0.14032331731833408,630,2500,2.7864532470703125
BPG-DS-v2,rosenbrock2d,11,0.8069525730376466,0.8069525730376466,630,2500,2.844728469848633
BPG-DS-v2,rosenbrock2d,12,0.8069525730376466,0.8069525730376466,630,2500,3.2576799392700195
BPG-DS-v2,rosenbrock2d,13,0.14032331731833408,0.14032331731833408,630,2500,2.79367733001709
BPG-DS-v2,rosenbrock2d,14,1.225335618696985,1.225335618696985,630,2500,2.974904775619507
